@File_Version: 4
@Coordinate_Type_is: 0
@Export_Type_is: 1
@Number_of_Projects 1
@Project_Type_Name: , 2,2D,
@Project_Unit_is: meters , NorthPole Azimuthal Equidistant CLon0 , PROJECTED_COORDINATE_SYSTEM
#File_Version____________-> 4
#Project_Name____________-> 2D
#Project_Type____________-> 2
#Export_XY_Unit__________-> meters
#OpenWorks_Project_______-> 'KOROLEV_TCB'
#Master_Project_______->
#Coordinate_type_________-> 0
#Number_of_points_in_hzd_-> 1
#Horizon_internal_id_____-> 71
#Horizon_extremes_are____-> 9830.24805  9871.85547
#Horizon_onset_is_Maximum_____-> 3
#Horizon_type_is_TIME_STRUCTURE______-> 1
#Horizon_color_is________-> 0 102 255
#Horizon_name____________-> fpb101_koro_sub0a_tcb
#Horizon_attribute_______-> TIME_STRUCTURE
#Horizon_version_________-> NEW
#Horizon_interp_status___-> working
#Horizon_class___________-> seed
#Export_Z_Unit___________-> ms
#Horizon_onset_type______-> Maximum
#Horizon_data_domain_____-> TIME
#Horizon_remark_size_____-> 0

#End_of_Horizon_ASCII_Header_
#File_Version____________-> 4
#Project_Name____________-> 2D
#Project_Type____________-> 2
#Export_XY_Unit__________-> meters
#OpenWorks_Project_______-> 'KOROLEV_TCB'
#Master_Project_______->
#Coordinate_type_________-> 0
#Number_of_points_in_hzd_-> 1
#Horizon_internal_id_____-> 75
#Horizon_extremes_are____-> 10004.64160  10004.71973
#Horizon_onset_is_Maximum_____-> 3
#Horizon_type_is_TIME_STRUCTURE______-> 1
#Horizon_color_is________-> 204 0 255
#Horizon_name____________-> fpb101_koro_sub0c_tcb
#Horizon_attribute_______-> TIME_STRUCTURE
#Horizon_version_________-> NEW
#Horizon_interp_status___-> working
#Horizon_class___________-> seed
#Export_Z_Unit___________-> ms
#Horizon_onset_type______-> Maximum
#Horizon_data_domain_____-> TIME
#Horizon_remark_size_____-> 0

#End_of_Horizon_ASCII_Header_
#File_Version____________-> 4
#Project_Name____________-> 2D
#Project_Type____________-> 2
#Export_XY_Unit__________-> meters
#OpenWorks_Project_______-> 'KOROLEV_TCB'
#Master_Project_______->
#Coordinate_type_________-> 0
#Number_of_points_in_hzd_-> 1
#Horizon_internal_id_____-> 79
#Horizon_extremes_are____-> 9759.33203  11551.15527
#Horizon_onset_is_Maximum_____-> 3
#Horizon_type_is_TIME_STRUCTURE______-> 1
#Horizon_color_is________-> 204 204 0
#Horizon_name____________-> fpb101_koro_sub1_tcb
#Horizon_attribute_______-> TIME_STRUCTURE
#Horizon_version_________-> NEW
#Horizon_interp_status___-> working
#Horizon_class___________-> seed
#Export_Z_Unit___________-> ms
#Horizon_onset_type______-> Maximum
#Horizon_data_domain_____-> TIME
#Horizon_remark_size_____-> 0

#End_of_Horizon_ASCII_Header_
mro1_fpb_1846401000                  226.00  11425.64844
mro1_fpb_1846401000                  227.00  11413.15039
mro1_fpb_1846401000                  228.00  11396.69043
mro1_fpb_1846401000                  229.00  11389.28418
mro1_fpb_1846401000                  230.00  11377.52148
mro1_fpb_1846401000                  231.00  11369.55664
mro1_fpb_1846401000                  232.00  11365.39062
mro1_fpb_1846401000                  233.00  11356.35547
mro1_fpb_1846401000                  234.00  11346.04883
mro1_fpb_1846401000                  235.00  11334.46680
mro1_fpb_1846401000                  248.00  11283.42871
mro1_fpb_1846401000                  249.00  11278.51270
mro1_fpb_1846401000                  250.00  11276.16504
mro1_fpb_1846401000                  251.00  11276.38965
mro1_fpb_1846401000                  252.00  11275.30762
mro1_fpb_1846401000                  253.00  11274.97949
mro1_fpb_1846401000                  254.00  11274.51562
mro1_fpb_1846401000                  255.00  11272.82520
mro1_fpb_1846401000                  256.00  11270.88867
mro1_fpb_1846401000                  257.00  11269.80859
mro1_fpb_1846401000                  258.00  11269.38379
mro1_fpb_1846401000                  259.00  11270.31152
mro1_fpb_1846401000                  260.00  11271.46191
mro1_fpb_1846401000                  261.00  11271.47754
mro1_fpb_1846401000                  262.00  11272.79590
mro1_fpb_1846401000                  263.00  11273.23926
mro1_fpb_1846401000                  264.00  11274.43066
mro1_fpb_1846401000                  265.00  11274.79590
mro1_fpb_1846401000                  266.00  11273.46094
mro1_fpb_1846401000                  267.00  11274.40625
mro1_fpb_1846401000                  268.00  11277.63184
mro1_fpb_1846401000                  269.00  11279.51465
mro1_fpb_1846401000                  270.00  11281.31641
mro1_fpb_1846401000                  271.00  11283.03809
